,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Soma
220,1058.0,20.0,51.0,57.0,45.0,24.0,18.0,215.0
221,1059.0,37.0,1.0,14.0,45.0,12.0,16.0,125.0
222,1060.0,1.0,41.0,3.0,18.0,16.0,42.0,121.0
223,1069.0,28.0,17.0,49.0,53.0,45.0,9.0,201.0
224,1070.0,41.0,53.0,8.0,23.0,5.0,16.0,146.0
225,1077.0,11.0,6.0,18.0,5.0,37.0,9.0,86.0
226,1079.0,36.0,12.0,37.0,24.0,5.0,28.0,142.0
227,1086.0,45.0,4.0,6.0,23.0,10.0,2.0,90.0
228,1094.0,10.0,9.0,48.0,36.0,41.0,21.0,165.0
229,1097.0,21.0,48.0,33.0,1.0,56.0,17.0,176.0
230,1098.0,30.0,20.0,21.0,11.0,50.0,52.0,184.0
231,1101.0,7.0,12.0,57.0,6.0,24.0,10.0,116.0
232,1105.0,43.0,1.0,50.0,28.0,57.0,15.0,194.0
233,1110.0,26.0,45.0,6.0,28.0,42.0,14.0,161.0
234,1111.0,4.0,43.0,25.0,9.0,33.0,32.0,146.0
235,1113.0,47.0,36.0,29.0,59.0,3.0,6.0,180.0
236,1114.0,16.0,3.0,22.0,54.0,25.0,15.0,135.0
237,1116.0,17.0,20.0,4.0,47.0,9.0,13.0,110.0
238,1121.0,18.0,4.0,59.0,54.0,56.0,17.0,208.0
239,1125.0,7.0,42.0,56.0,29.0,33.0,3.0,170.0
240,1127.0,24.0,8.0,14.0,5.0,29.0,30.0,110.0
241,1128.0,60.0,8.0,39.0,52.0,24.0,16.0,199.0
242,1133.0,16.0,5.0,58.0,39.0,10.0,21.0,149.0
243,1135.0,5.0,4.0,19.0,39.0,6.0,23.0,96.0
244,1140.0,49.0,58.0,40.0,46.0,10.0,27.0,230.0
245,1145.0,19.0,3.0,60.0,33.0,24.0,16.0,155.0
246,1157.0,46.0,9.0,43.0,41.0,49.0,29.0,217.0
247,1160.0,40.0,5.0,3.0,48.0,1.0,18.0,115.0
248,1169.0,14.0,1.0,11.0,23.0,42.0,48.0,139.0
249,1170.0,46.0,11.0,27.0,34.0,49.0,13.0,180.0
250,1177.0,33.0,52.0,55.0,47.0,38.0,50.0,275.0
251,1183.0,12.0,5.0,10.0,20.0,29.0,37.0,113.0
252,1186.0,41.0,12.0,15.0,7.0,13.0,8.0,96.0
253,1190.0,11.0,53.0,56.0,37.0,10.0,19.0,186.0
254,1195.0,27.0,17.0,57.0,26.0,55.0,20.0,202.0
255,1200.0,10.0,3.0,39.0,54.0,56.0,11.0,173.0
256,1211.0,36.0,54.0,3.0,31.0,15.0,48.0,187.0
257,1220.0,48.0,55.0,52.0,43.0,5.0,15.0,218.0
258,1224.0,41.0,19.0,57.0,53.0,21.0,27.0,218.0
259,1225.0,32.0,55.0,34.0,31.0,50.0,40.0,242.0
260,1227.0,35.0,31.0,4.0,30.0,54.0,28.0,182.0
261,1231.0,20.0,27.0,49.0,5.0,23.0,39.0,163.0
262,1237.0,26.0,21.0,39.0,5.0,18.0,59.0,168.0
263,1245.0,34.0,10.0,37.0,50.0,43.0,2.0,176.0
264,1249.0,3.0,40.0,8.0,53.0,51.0,36.0,191.0
265,1257.0,27.0,15.0,30.0,52.0,26.0,2.0,152.0
266,1262.0,11.0,39.0,9.0,5.0,8.0,7.0,79.0
267,1269.0,51.0,5.0,27.0,4.0,15.0,17.0,119.0
268,1276.0,9.0,40.0,5.0,22.0,36.0,11.0,123.0
269,1281.0,36.0,14.0,30.0,38.0,11.0,8.0,137.0
270,1289.0,13.0,8.0,27.0,1.0,3.0,52.0,104.0
271,1295.0,20.0,2.0,43.0,15.0,5.0,57.0,142.0
272,1298.0,60.0,14.0,53.0,30.0,15.0,55.0,227.0
273,1300.0,46.0,43.0,59.0,54.0,44.0,53.0,299.0
274,1301.0,16.0,25.0,3.0,51.0,23.0,56.0,174.0
275,1307.0,10.0,47.0,54.0,7.0,43.0,32.0,193.0
276,1315.0,27.0,29.0,1.0,50.0,52.0,38.0,197.0
277,1316.0,48.0,34.0,25.0,42.0,13.0,8.0,170.0
278,1321.0,51.0,59.0,47.0,10.0,60.0,53.0,280.0
279,1328.0,43.0,27.0,59.0,53.0,23.0,10.0,215.0
280,1331.0,24.0,46.0,39.0,57.0,26.0,9.0,201.0
281,1332.0,5.0,13.0,3.0,24.0,35.0,59.0,139.0
282,1335.0,49.0,3.0,51.0,20.0,22.0,14.0,159.0
283,1336.0,51.0,54.0,32.0,1.0,38.0,47.0,223.0
284,1338.0,19.0,33.0,18.0,43.0,60.0,1.0,174.0
285,1344.0,19.0,42.0,8.0,36.0,21.0,59.0,185.0
286,1346.0,59.0,47.0,32.0,48.0,40.0,12.0,238.0
287,1349.0,9.0,19.0,20.0,50.0,60.0,51.0,209.0
288,1350.0,4.0,36.0,29.0,55.0,45.0,3.0,172.0
289,1353.0,47.0,11.0,3.0,27.0,32.0,13.0,133.0
290,1354.0,2.0,42.0,8.0,49.0,48.0,38.0,187.0
291,1360.0,50.0,25.0,17.0,16.0,54.0,2.0,164.0
292,1362.0,58.0,19.0,12.0,22.0,2.0,36.0,149.0
293,1366.0,59.0,44.0,54.0,37.0,27.0,12.0,233.0
294,1368.0,10.0,26.0,29.0,38.0,32.0,21.0,156.0
295,1370.0,2.0,27.0,59.0,49.0,4.0,5.0,146.0
296,1373.0,52.0,39.0,7.0,27.0,55.0,57.0,237.0
297,1375.0,25.0,28.0,53.0,45.0,14.0,58.0,223.0
298,1377.0,25.0,5.0,13.0,12.0,35.0,2.0,92.0
299,1381.0,44.0,30.0,27.0,11.0,40.0,57.0,209.0
300,1384.0,56.0,18.0,31.0,2.0,30.0,45.0,182.0
301,1385.0,42.0,37.0,35.0,27.0,59.0,36.0,236.0
302,1389.0,1.0,44.0,39.0,16.0,57.0,28.0,185.0
303,1390.0,29.0,27.0,19.0,4.0,28.0,31.0,138.0
304,1393.0,44.0,28.0,18.0,24.0,4.0,39.0,157.0
305,1399.0,39.0,43.0,60.0,57.0,34.0,56.0,289.0
306,1401.0,12.0,11.0,54.0,33.0,48.0,25.0,183.0
307,1405.0,14.0,17.0,32.0,37.0,39.0,3.0,142.0
308,1411.0,32.0,44.0,12.0,8.0,48.0,46.0,190.0
309,1412.0,6.0,8.0,37.0,24.0,45.0,41.0,161.0
310,1416.0,49.0,3.0,19.0,35.0,22.0,24.0,152.0
311,1417.0,12.0,56.0,5.0,52.0,45.0,59.0,229.0
312,1421.0,31.0,39.0,59.0,19.0,53.0,44.0,245.0
313,1422.0,17.0,44.0,2.0,5.0,13.0,39.0,120.0
314,1423.0,43.0,8.0,21.0,27.0,3.0,25.0,127.0
315,1425.0,7.0,29.0,50.0,16.0,38.0,36.0,176.0
316,1428.0,15.0,55.0,37.0,34.0,19.0,7.0,167.0
