,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Soma
457,1924.0,16.0,52.0,53.0,58.0,30.0,12.0,221.0
458,1926.0,46.0,3.0,2.0,30.0,14.0,20.0,115.0
459,1927.0,11.0,5.0,30.0,31.0,13.0,19.0,109.0
460,1935.0,24.0,17.0,10.0,1.0,3.0,23.0,78.0
461,1937.0,10.0,29.0,24.0,43.0,6.0,55.0,167.0
462,1941.0,38.0,1.0,9.0,48.0,49.0,24.0,169.0
463,1953.0,45.0,29.0,42.0,9.0,43.0,26.0,194.0
464,1957.0,23.0,47.0,29.0,2.0,14.0,22.0,137.0
465,1965.0,28.0,26.0,55.0,38.0,48.0,35.0,230.0
466,1974.0,19.0,57.0,38.0,54.0,4.0,27.0,199.0
467,1975.0,8.0,24.0,47.0,26.0,11.0,57.0,173.0
468,1977.0,28.0,3.0,32.0,34.0,37.0,16.0,150.0
469,1979.0,38.0,23.0,45.0,32.0,29.0,22.0,189.0
470,1982.0,46.0,24.0,20.0,4.0,50.0,14.0,158.0
471,1983.0,14.0,22.0,6.0,5.0,10.0,36.0,93.0
472,1992.0,21.0,11.0,13.0,53.0,54.0,5.0,157.0
473,2000.0,6.0,37.0,34.0,10.0,3.0,17.0,107.0
474,2004.0,45.0,35.0,1.0,23.0,5.0,14.0,123.0
475,2015.0,18.0,58.0,32.0,39.0,27.0,17.0,191.0
476,2023.0,23.0,56.0,8.0,7.0,1.0,6.0,101.0
477,2028.0,7.0,42.0,58.0,36.0,24.0,11.0,178.0
478,2030.0,38.0,4.0,58.0,40.0,27.0,59.0,226.0
479,2033.0,40.0,10.0,18.0,33.0,38.0,43.0,182.0
480,2034.0,7.0,56.0,22.0,13.0,6.0,17.0,121.0
481,2041.0,10.0,12.0,54.0,42.0,22.0,25.0,165.0
482,2045.0,27.0,46.0,15.0,25.0,50.0,45.0,208.0
483,2052.0,57.0,50.0,56.0,51.0,58.0,59.0,331.0
484,2062.0,8.0,15.0,34.0,25.0,10.0,23.0,115.0
485,2066.0,27.0,55.0,35.0,6.0,25.0,45.0,193.0
486,2074.0,42.0,8.0,18.0,37.0,58.0,23.0,186.0
487,2077.0,37.0,13.0,16.0,26.0,39.0,35.0,166.0
488,2081.0,40.0,42.0,13.0,18.0,35.0,41.0,189.0
489,2082.0,25.0,33.0,42.0,49.0,6.0,48.0,203.0
490,2087.0,19.0,18.0,53.0,34.0,2.0,23.0,149.0
491,2088.0,24.0,3.0,27.0,38.0,14.0,56.0,162.0
492,2091.0,12.0,11.0,10.0,59.0,38.0,37.0,167.0
493,2100.0,1.0,35.0,13.0,11.0,10.0,49.0,119.0
494,2110.0,25.0,33.0,10.0,12.0,18.0,5.0,103.0
495,2118.0,41.0,11.0,12.0,46.0,20.0,40.0,170.0
496,2121.0,37.0,8.0,17.0,29.0,10.0,40.0,141.0
497,2131.0,28.0,18.0,20.0,6.0,2.0,3.0,77.0
498,2135.0,23.0,48.0,59.0,28.0,40.0,9.0,207.0
499,2150.0,38.0,24.0,23.0,26.0,42.0,49.0,202.0
500,2153.0,13.0,28.0,31.0,8.0,33.0,32.0,145.0
501,2161.0,24.0,10.0,8.0,44.0,9.0,42.0,137.0
502,2165.0,56.0,49.0,54.0,43.0,5.0,37.0,244.0
503,2168.0,37.0,25.0,29.0,4.0,1.0,27.0,123.0
504,2171.0,19.0,12.0,13.0,36.0,55.0,44.0,179.0
