,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Rateio_Sena
1,2.0,9.0,39.0,37.0,49.0,43.0,41.0,1.0,2307162.23
2,3.0,36.0,30.0,10.0,11.0,29.0,47.0,2.0,391192.51
11,11.0,25.0,15.0,58.0,37.0,59.0,38.0,1.0,15591365.07
17,17.0,10.0,20.0,6.0,19.0,51.0,13.0,1.0,6789869.08
24,24.0,1.0,8.0,14.0,28.0,33.0,43.0,1.0,18661679.61
29,29.0,14.0,56.0,58.0,8.0,43.0,3.0,1.0,5401793.6
33,33.0,5.0,33.0,49.0,17.0,42.0,39.0,1.0,13997410.74
41,41.0,38.0,26.0,35.0,39.0,12.0,47.0,1.0,17019238.5
49,49.0,33.0,7.0,43.0,35.0,13.0,55.0,1.0,8405156.76
54,54.0,5.0,21.0,9.0,56.0,18.0,36.0,2.0,7469653.99
59,58.0,30.0,49.0,27.0,37.0,12.0,44.0,1.0,3631304.91
64,63.0,26.0,9.0,41.0,49.0,25.0,40.0,1.0,13680019.57
74,73.0,57.0,25.0,45.0,28.0,51.0,26.0,1.0,21026575.4
80,79.0,43.0,25.0,2.0,13.0,31.0,17.0,1.0,6770601.75
83,82.0,51.0,36.0,53.0,29.0,18.0,15.0,1.0,13877826.02
91,90.0,21.0,26.0,40.0,54.0,9.0,52.0,1.0,15764300.87
97,96.0,4.0,42.0,58.0,26.0,7.0,40.0,1.0,5218562.47
98,97.0,56.0,53.0,11.0,14.0,5.0,35.0,1.0,727932.66
103,102.0,44.0,42.0,37.0,56.0,19.0,20.0,1.0,11336626.88
104,103.0,9.0,1.0,57.0,7.0,54.0,49.0,1.0,696984.24
113,112.0,37.0,43.0,34.0,20.0,12.0,42.0,1.0,15802579.93
125,124.0,52.0,5.0,34.0,57.0,15.0,41.0,1.0,24536288.72
134,133.0,19.0,57.0,6.0,39.0,34.0,5.0,1.0,30533241.12
140,139.0,26.0,27.0,13.0,42.0,41.0,3.0,2.0,3902486.14
145,144.0,8.0,32.0,44.0,36.0,45.0,55.0,1.0,33597755.21
148,147.0,24.0,6.0,38.0,23.0,28.0,16.0,1.0,3805750.38
152,151.0,3.0,43.0,16.0,56.0,52.0,20.0,1.0,24091811.02
156,155.0,12.0,32.0,44.0,43.0,35.0,30.0,1.0,4988808.21
158,157.0,17.0,13.0,4.0,44.0,41.0,21.0,1.0,2140030.92
160,159.0,16.0,9.0,50.0,58.0,11.0,35.0,1.0,2038170.67
164,163.0,41.0,56.0,27.0,36.0,53.0,8.0,2.0,8975833.36
166,165.0,39.0,56.0,19.0,23.0,10.0,35.0,2.0,1044444.54
168,167.0,1.0,38.0,48.0,28.0,11.0,33.0,1.0,2100980.21
172,171.0,54.0,27.0,4.0,43.0,40.0,46.0,1.0,16052410.83
174,173.0,29.0,28.0,49.0,17.0,42.0,50.0,1.0,2148316.42
179,178.0,5.0,27.0,19.0,26.0,15.0,33.0,1.0,6129539.43
189,188.0,34.0,42.0,43.0,46.0,27.0,17.0,1.0,64905517.65
192,191.0,58.0,5.0,41.0,3.0,1.0,23.0,1.0,50968412.58
196,195.0,17.0,3.0,44.0,37.0,9.0,32.0,1.0,6370250.64
200,199.0,52.0,37.0,57.0,16.0,10.0,50.0,1.0,4915593.2
201,200.0,12.0,15.0,44.0,34.0,51.0,19.0,2.0,8829389.2
202,201.0,55.0,22.0,5.0,30.0,35.0,20.0,1.0,1038373.94
206,205.0,26.0,32.0,54.0,43.0,46.0,40.0,1.0,4490339.49
214,213.0,3.0,30.0,9.0,35.0,23.0,32.0,3.0,7089194.54
219,216.0,35.0,42.0,59.0,18.0,30.0,14.0,4.0,801057.55
224,218.0,54.0,40.0,42.0,17.0,47.0,12.0,1.0,1878255.09
226,220.0,36.0,53.0,55.0,13.0,60.0,14.0,1.0,12636751.12
232,226.0,2.0,50.0,59.0,38.0,49.0,1.0,1.0,6916920.13
235,229.0,39.0,45.0,11.0,21.0,33.0,13.0,1.0,2992781.57
239,233.0,45.0,3.0,24.0,36.0,7.0,32.0,5.0,3196547.03
248,238.0,15.0,9.0,41.0,13.0,37.0,42.0,4.0,1429476.11
252,239.0,33.0,21.0,44.0,46.0,47.0,6.0,1.0,866183.32
258,245.0,44.0,51.0,27.0,53.0,8.0,60.0,3.0,9153484.88
267,252.0,17.0,54.0,4.0,51.0,32.0,26.0,2.0,15107002.24
273,257.0,28.0,5.0,1.0,34.0,4.0,19.0,1.0,6808483.96
280,264.0,5.0,25.0,31.0,13.0,1.0,33.0,2.0,16055880.73
287,270.0,45.0,27.0,35.0,40.0,5.0,9.0,1.0,25186260.21
290,273.0,47.0,52.0,10.0,27.0,23.0,17.0,1.0,3456480.23
298,281.0,11.0,5.0,47.0,31.0,53.0,38.0,1.0,22414093.5
299,282.0,33.0,24.0,36.0,9.0,14.0,23.0,1.0,958878.82
300,283.0,48.0,34.0,28.0,54.0,25.0,42.0,1.0,367173.22
301,284.0,8.0,36.0,14.0,32.0,30.0,7.0,1.0,901884.48
304,287.0,60.0,47.0,3.0,33.0,25.0,13.0,1.0,1931474.8
311,294.0,28.0,45.0,41.0,22.0,57.0,25.0,2.0,7696680.33
316,298.0,22.0,34.0,24.0,23.0,5.0,60.0,1.0,2994572.21
321,303.0,7.0,13.0,30.0,37.0,47.0,17.0,1.0,12257748.27
326,308.0,55.0,25.0,4.0,11.0,29.0,39.0,1.0,4138172.99
327,309.0,39.0,50.0,25.0,55.0,11.0,4.0,1.0,442899.06
333,315.0,50.0,21.0,43.0,12.0,28.0,22.0,1.0,13675105.67
336,318.0,19.0,53.0,40.0,3.0,31.0,20.0,1.0,2227008.03
343,325.0,4.0,23.0,3.0,1.0,21.0,53.0,2.0,8743877.8
347,328.0,51.0,5.0,23.0,7.0,14.0,21.0,1.0,2721357.01
353,334.0,41.0,26.0,51.0,14.0,24.0,23.0,2.0,8729392.91
363,343.0,4.0,6.0,7.0,24.0,12.0,41.0,2.0,9937283.03
366,345.0,56.0,11.0,58.0,46.0,51.0,22.0,1.0,1447870.53
375,354.0,40.0,52.0,38.0,16.0,7.0,41.0,1.0,18680098.1
383,362.0,37.0,20.0,33.0,46.0,7.0,56.0,1.0,18399160.53
385,364.0,59.0,44.0,29.0,5.0,51.0,57.0,1.0,1307293.04
386,365.0,52.0,19.0,34.0,37.0,58.0,23.0,1.0,462752.26
388,367.0,52.0,49.0,27.0,33.0,12.0,10.0,1.0,1150498.02
390,369.0,21.0,42.0,1.0,60.0,35.0,14.0,1.0,1221738.07
393,372.0,24.0,17.0,46.0,57.0,16.0,39.0,2.0,4792658.35
407,385.0,22.0,12.0,24.0,18.0,5.0,16.0,2.0,12952192.89
413,390.0,7.0,22.0,34.0,12.0,38.0,53.0,1.0,17611429.97
415,392.0,49.0,47.0,39.0,31.0,15.0,23.0,1.0,1410917.29
418,395.0,11.0,58.0,31.0,14.0,10.0,20.0,1.0,1843709.96
421,398.0,28.0,7.0,16.0,37.0,36.0,22.0,1.0,2221289.77
431,408.0,49.0,44.0,33.0,28.0,56.0,14.0,1.0,18948827.67
437,414.0,35.0,26.0,58.0,52.0,45.0,16.0,1.0,17428452.98
441,418.0,45.0,8.0,32.0,49.0,15.0,52.0,2.0,1558712.24
449,425.0,6.0,16.0,10.0,34.0,47.0,42.0,1.0,18979599.19
454,430.0,50.0,21.0,10.0,25.0,38.0,8.0,1.0,14410708.81
466,442.0,15.0,31.0,23.0,6.0,59.0,37.0,1.0,19946601.01
470,446.0,11.0,20.0,8.0,47.0,12.0,17.0,2.0,1767117.91
482,457.0,48.0,15.0,24.0,27.0,17.0,32.0,3.0,10000441.74
491,464.0,6.0,33.0,45.0,38.0,24.0,50.0,1.0,28414544.43
496,469.0,29.0,47.0,42.0,21.0,13.0,26.0,2.0,2596432.92
505,477.0,47.0,34.0,8.0,6.0,18.0,38.0,3.0,10401481.92
511,481.0,42.0,6.0,24.0,44.0,22.0,13.0,3.0,6796888.03
518,486.0,50.0,42.0,19.0,8.0,30.0,14.0,1.0,5125800.12
